,Annual Return,Annual Volatility,Sharpe Ratio
XLK,0.23197693479556203,0.24098213530413112,0.8381406967809351
SPY,0.15332632634244284,0.17938644364960896,0.6874896666290629
XLI,0.14332982047727783,0.1977869194642773,0.5729894615085835
XLF,0.1481671926238786,0.22227972575435756,0.5316148030273609
XLY,0.14583095988750147,0.21836452925283853,0.5304476889347897
XLV,0.1116635464334546,0.16668833250248666,0.4899175917560777
XLU,0.11612536425466932,0.1910871404013035,0.4507125077794184
XLB,0.11315813903429195,0.20700498270270015,0.40172047043777387
XLP,0.08268471074809995,0.14634536399237244,0.3600025946216232
XLRE,0.08526476925026946,0.20528043469927645,0.26921595977341456
